id,title,context,question,answers
1.0.1,Rakuten Symphony,"Threat modeling is a process by which potential threats, such as structural vulnerabilities or the absence of appropriate safeguards, can be identified and enumerated, and countermeasures prioritized. The purpose of threat modeling is to provide defenders with a systematic analysis of what controls or defenses need to be included, given the nature of the system, the probable attacker's profile, the most likely attack vectors, and the assets most desired by an attacker.",What is threat modelling?,"{ ""text"": [ ""Threat modeling is a process by which potential threats, such as structural vulnerabilities or the absence of appropriate safeguards, can be identified and enumerated, and countermeasures prioritized"" ], ""answer_start"": [ 0 ] }"
1.0.2,Rakuten Symphony,"Following are the links to threat modelling documents of Rakuten Symphony: Threat modelling methodology: https://rak.box.com/s/d15qngm7xp6haqacyk6e1phcht1mzz01, Threat model report template: https://rak.box.com/s/byi2fo1fpeoq9780dm4pkxo7mncvefuo, Sample - Threat model report: https://rak.box.com/s/lpgdt2lqjkc6jqe2xbilbm5fi2ccu4wt
",What is the method used for threat modelling?,"{ ""text"": [ ""Threat modelling methodology: https://rak.box.com/s/d15qngm7xp6haqacyk6e1phcht1mzz01"" ], ""answer_start"": [ 75 ] }"
1.0.3,Rakuten Symphony,"Following are the links to threat modelling documents of Rakuten Symphony: Threat modelling methodology: https://rak.box.com/s/d15qngm7xp6haqacyk6e1phcht1mzz01, Threat model report template: https://rak.box.com/s/byi2fo1fpeoq9780dm4pkxo7mncvefuo, Sample - Threat model report: https://rak.box.com/s/lpgdt2lqjkc6jqe2xbilbm5fi2ccu4wt
",How do I do threat modelling?,"{ ""text"": [ ""Threat modelling methodology: https://rak.box.com/s/d15qngm7xp6haqacyk6e1phcht1mzz01"" ], ""answer_start"": [ 75 ] }"
1.0.4,Rakuten Symphony,"Following are the links to threat modelling documents of Rakuten Symphony: Threat modelling methodology: https://rak.box.com/s/d15qngm7xp6haqacyk6e1phcht1mzz01, Threat model report template: https://rak.box.com/s/byi2fo1fpeoq9780dm4pkxo7mncvefuo, Sample - Threat model report: https://rak.box.com/s/lpgdt2lqjkc6jqe2xbilbm5fi2ccu4wt
",Can you help me with threat modelling?,"{ ""text"": [ ""Threat modelling methodology: https://rak.box.com/s/d15qngm7xp6haqacyk6e1phcht1mzz01"" ], ""answer_start"": [ 75 ] }"
1.0.5,Rakuten Symphony,"Following are the links to threat modelling documents of Rakuten Symphony: Threat modelling methodology: https://rak.box.com/s/d15qngm7xp6haqacyk6e1phcht1mzz01, Threat model report template: https://rak.box.com/s/byi2fo1fpeoq9780dm4pkxo7mncvefuo, Sample - Threat model report: https://rak.box.com/s/lpgdt2lqjkc6jqe2xbilbm5fi2ccu4wt
",Is there a template for threat model?,"{ ""text"": [ ""Threat model report template: https://rak.box.com/s/byi2fo1fpeoq9780dm4pkxo7mncvefuo"" ], ""answer_start"": [ 161 ] }"
1.0.6,Rakuten Symphony,"Following are the links to threat modelling documents of Rakuten Symphony: Threat modelling methodology: https://rak.box.com/s/d15qngm7xp6haqacyk6e1phcht1mzz01, Threat model report template: https://rak.box.com/s/byi2fo1fpeoq9780dm4pkxo7mncvefuo, Sample - Threat model report: https://rak.box.com/s/lpgdt2lqjkc6jqe2xbilbm5fi2ccu4wt
",Is there a standard template for threat model?,"{ ""text"": [ ""Threat model report template: https://rak.box.com/s/byi2fo1fpeoq9780dm4pkxo7mncvefuo"" ], ""answer_start"": [ 161 ] }"
1.0.7,Rakuten Symphony,"Following are the links to threat modelling documents of Rakuten Symphony: Threat modelling methodology: https://rak.box.com/s/d15qngm7xp6haqacyk6e1phcht1mzz01, Threat model report template: https://rak.box.com/s/byi2fo1fpeoq9780dm4pkxo7mncvefuo, Sample - Threat model report: https://rak.box.com/s/lpgdt2lqjkc6jqe2xbilbm5fi2ccu4wt
",Is there a predefined template for threat model report?,"{ ""text"": [ ""Threat model report template: https://rak.box.com/s/byi2fo1fpeoq9780dm4pkxo7mncvefuo"" ], ""answer_start"": [ 161 ] }"
1.0.8,Rakuten Symphony,"Following are the links to threat modelling documents of Rakuten Symphony: Threat modelling methodology: https://rak.box.com/s/d15qngm7xp6haqacyk6e1phcht1mzz01, Threat model report template: https://rak.box.com/s/byi2fo1fpeoq9780dm4pkxo7mncvefuo, Sample - Threat model report: https://rak.box.com/s/lpgdt2lqjkc6jqe2xbilbm5fi2ccu4wt
",Is there a sample threat model report?,"{ ""text"": [ ""Sample - Threat model report: https://rak.box.com/s/lpgdt2lqjkc6jqe2xbilbm5fi2ccu4wt"" ], ""answer_start"": [ 247 ] }"
1.0.9,Rakuten Symphony,"Following are the links to threat modelling documents of Rakuten Symphony: Threat modelling methodology: https://rak.box.com/s/d15qngm7xp6haqacyk6e1phcht1mzz01, Threat model report template: https://rak.box.com/s/byi2fo1fpeoq9780dm4pkxo7mncvefuo, Sample - Threat model report: https://rak.box.com/s/lpgdt2lqjkc6jqe2xbilbm5fi2ccu4wt
",Is there an example of threat modelling?,"{ ""text"": [ ""Sample - Threat model report: https://rak.box.com/s/lpgdt2lqjkc6jqe2xbilbm5fi2ccu4wt"" ], ""answer_start"": [ 247 ] }"
1.0.10,Rakuten Symphony,"Following are the links to threat modelling documents of Rakuten Symphony: Threat modelling methodology: https://rak.box.com/s/d15qngm7xp6haqacyk6e1phcht1mzz01, Threat model report template: https://rak.box.com/s/byi2fo1fpeoq9780dm4pkxo7mncvefuo, Sample - Threat model report: https://rak.box.com/s/lpgdt2lqjkc6jqe2xbilbm5fi2ccu4wt
","I am new, is there a reference that can be used for threat modelling?","{ ""text"": [ ""Sample - Threat model report: https://rak.box.com/s/lpgdt2lqjkc6jqe2xbilbm5fi2ccu4wt"" ], ""answer_start"": [ 247 ] }"
1.0.11,Rakuten Symphony,"Following are the links to threat modelling documents of Rakuten Symphony: Threat modelling methodology: https://rak.box.com/s/d15qngm7xp6haqacyk6e1phcht1mzz01, Threat model report template: https://rak.box.com/s/byi2fo1fpeoq9780dm4pkxo7mncvefuo, Sample - Threat model report: https://rak.box.com/s/lpgdt2lqjkc6jqe2xbilbm5fi2ccu4wt
",I want links to threat modelling documents?,"{ ""text"": [""Following are the links to threat modelling documents of Rakuten Symphony: Threat modelling methodology: https://rak.box.com/s/d15qngm7xp6haqacyk6e1phcht1mzz01, Threat model report template: https://rak.box.com/s/byi2fo1fpeoq9780dm4pkxo7mncvefuo, Sample - Threat model report: https://rak.box.com/s/lpgdt2lqjkc6jqe2xbilbm5fi2ccu4wt"" ], ""answer_start"": [ 0 ] }"
1.0.12,Rakuten Symphony,"The product team and the SPOC from the product team should drive the threat model report activity. The product team and the SPOC are responsible for filling different sections of the threat model report template. The sections related to product/solution architecture, communication matrix for interfaces, data protection aspects in transit, at rest, Data flow diagram, threat identification, risk analysis should be filled by the product team and the SPOC. The Rakuten Symphony security team (rs-security-arb@mail.rakuten.com) can be contacted at in case of any queries / hurdles faced.",What should product teams do to perform threat modelling?,"{ ""text"": [ ""The product team and the SPOC from the product team should drive the threat model report activity. The product team and the SPOC are responsible for filling different sections of the threat model report template. The sections related to product/solution architecture, communication matrix for interfaces, data protection aspects in transit, at rest, Data flow diagram, threat identification, risk analysis should be filled by the product team and the SPOC. The Rakuten Symphony security team (rs-security-arb@mail.rakuten.com) can be contacted at in case of any queries / hurdles faced.""], ""answer_start"": [1] }"
1.0.13,Rakuten Symphony,"There are several threat modelling tools available, including the Microsoft Threat modelling tool, OWASP threat dragon, and others. OWASP threat dragon is the recommended tool for threat modelling. The threat dragon is chosen because of the ease of use, cost, good user interface and flexibility in modelling the assets / threats. OWASP threat dragon is a public domain/free tool which can be used to perform STRIDE based threat modelling. The tool enables to depict different assets, its interfaces, asset/interface segregation using boundaries, associating threats with the assets, threat mitigation status (already mitigated or not). The tool provides a graphical user interface to perform the threat modelling. The model data entered in the tool is stored as JSON files which enable easy transport of files to other users of the same tool and work collaboratively on the model. A report in PDF form can be generated to export the threat model DFD (data flow diagrams) as well.",Is there a tool to perform threat modelling?,"{ ""text"": [ ""OWASP threat dragon"" ], ""answer_start"": [ 132 ] }"
1.0.14,Rakuten Symphony,"There are several threat modelling tools available, including the Microsoft Threat modelling tool, OWASP threat dragon, and others. OWASP threat dragon is the recommended tool for threat modelling. The threat dragon is chosen because of the ease of use, cost, good user interface and flexibility in modelling the assets / threats. OWASP threat dragon is a public domain/free tool which can be used to perform STRIDE based threat modelling. The tool enables to depict different assets, its interfaces, asset/interface segregation using boundaries, associating threats with the assets, threat mitigation status (already mitigated or not). The tool provides a graphical user interface to perform the threat modelling. The model data entered in the tool is stored as JSON files which enable easy transport of files to other users of the same tool and work collaboratively on the model. A report in PDF form can be generated to export the threat model DFD (data flow diagrams) as well.",How to use threat dragon?,"{ ""text"": [ ""OWASP threat dragon"" ], ""answer_start"": [ 132 ] }"
1.0.15,Rakuten Symphony,A data-flow diagram is a way of representing a flow of data through a process or a system (usually an information system). The DFD also provides information about the outputs and inputs of each entity and the process itself. A data-flow diagram has no control flow — there are no decision rules and no loops. Specific operations based on the data can be represented by a flowchart.,What is DFD?,"{ ""text"": [""A data-flow diagram is a way of representing a flow of data through a process or a system""], ""answer_start"": [ 0 ] }"
1.0.16,Rakuten Symphony,A data-flow diagram is a way of representing a flow of data through a process or a system (usually an information system). The DFD also provides information about the outputs and inputs of each entity and the process itself. A data-flow diagram has no control flow — there are no decision rules and no loops. Specific operations based on the data can be represented by a flowchart.,What is data flow diagram?,"{ ""text"": [""A data-flow diagram is a way of representing a flow of data through a process or a system (usually an information system). The DFD also provides information about the outputs and inputs of each entity and the process itself. A data-flow diagram has no control flow""], ""answer_start"": [ 0 ] }"
